"era","class","blue","green","red","nir","swir1","swir2"
"L8","water",0.0627419144277763,0.071764760911593,0.0756613336580486,0.0649310118217885,0.00731852273129893,0.0053106700064648
"L8","flooded_veg",0.046638836996337,0.0612757337707182,0.0617626229784367,0.124018292253521,0.056145249343832,0.0317394376843658
"L8","dry_veg",0.0463866694505477,0.0708050812798657,0.089355191647447,0.205078223620528,0.248057691689025,0.181645531632665
"L8","bare_soil",0.0747191571040701,0.112307260638298,0.151311902284928,0.211945094131477,0.302782509594981,0.267461341569407
"L5","water",0.0671210247629217,0.07848206326229,0.0765864942752734,0.0610827542335703,0.00854791450938179,0.00709006285043653
"L5","flooded_veg",0.0482119205729167,0.0622446960382514,0.0612633662175168,0.125544332694764,0.0559447472299169,0.0300320270525918
"L5","dry_veg",0.0515158516246744,0.0720229834066893,0.0815328496870627,0.18844538281952,0.206029397303536,0.135798287880467
"L5","bare_soil",0.0766525809396341,0.107894824166268,0.138140946032227,0.194343281867205,0.28516637308443,0.251903857394432
