date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2011-11-16,1,8.303,1.398,0.551,0.03,805254.1,802937.9,8.359,200000
2011-11-16,2,8.359,2.215,0.449,0.03,805254.1,802937.9,8.359,200000
