date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2011-12-24,1,6.679,1.329,0.488,0.074,815416.1,812450.5,6.817,200000
2011-12-24,2,6.817,2.247,0.512,0.074,815416.1,812450.5,6.817,200000
