year,n_scenes,NDWI,MNDWI,AWEIsh,WRI,NDPI,sensors
1984,2,-0.29367607168598076,-0.34731409832474514,-0.34455328363564386,0.6002870241701572,0.34731409832474514,LT05
1986,5,-0.439265855402412,-0.29719006524540764,-0.3994524653116143,0.5729005385890884,0.29719006524540764,LT05
1987,2,-0.5751066306266331,-0.3816114804093295,-0.4837298312058715,0.35407363505340944,0.3816114804093295,LT05
1989,8,-0.3689501265961446,-0.31306634215825374,-0.342826174581424,0.6565539606868986,0.31306634215825374,LT05
1990,13,-0.3708198292288607,-0.2777047535405162,-0.34527536090513716,0.7155540486102121,0.2777047535405162,LT05
1991,10,-0.33153700761168453,-0.2540570403218382,-0.31000930837560076,0.7065870070163951,0.2540570403218382,LT05
1992,3,-0.4291349209000902,-0.45320487728293657,-0.37292890725237526,0.4069010749665323,0.45320487728293657,LT05
1993,10,-0.4076277098000489,-0.30096191788715215,-0.3792708979289133,0.6120472191049048,0.30096191788715215,LT05
1994,14,-0.2966061820203182,-0.30355821431509755,-0.33408036997574747,0.6126907108306275,0.30355821431509755,LT05
1995,13,-0.40116852631290667,-0.3800456255787323,-0.372850236620981,0.44047039434826374,0.3800456255787323,LT05
1996,14,-0.46531450946321645,-0.34854640089630595,-0.3844157840640625,0.48411628995680883,0.34854640089630595,LT05
1997,13,-0.41545679128939594,-0.3523017360636657,-0.3635717977686469,0.5328809630913274,0.3523017360636657,LT05
1998,25,-0.3722579318201924,-0.31588890252357266,-0.38038666642187,0.5879905137937096,0.31588890252357266,LT05
1999,14,-0.3667957284858503,-0.34285615613442433,-0.3626969389452682,0.6128523775423651,0.34285615613442433,LT05+LE07
2000,13,-0.3215834305431601,-0.317421823035505,-0.3347891148513289,0.6608621145802349,0.317421823035505,LT05+LE07
2001,25,-0.3344871324667871,-0.3092080021648198,-0.3420596433934718,0.6418950380051104,0.3092080021648198,LT05+LE07
2002,25,-0.3649982349119809,-0.3183283597464533,-0.3593272606113012,0.6703999116164251,0.3183283597464533,LE07
2003,21,-0.3499943535250328,-0.3260521854585583,-0.36321389049548386,0.6569054914072563,0.3260521854585583,LT05+LE07
2004,21,-0.388441665980249,-0.3208342717363916,-0.36854863465537074,0.6794783821907606,0.3208342717363916,LT05+LE07
2005,44,-0.33706648092239944,-0.3101926604800215,-0.36505122338930523,0.6604741901731593,0.3101926604800215,LT05+LE07
2006,38,-0.38845050837624556,-0.3337785444363813,-0.3773656798742975,0.6127001031443231,0.3337785444363813,LT05+LE07
2007,40,-0.3834452865934968,-0.31671912074452485,-0.36831567699639167,0.6236231783829325,0.31671912074452485,LT05+LE07
2008,46,-0.3232020304779665,-0.30848398141626293,-0.34415005140871485,0.6609922982187292,0.30848398141626293,LT05+LE07
2009,28,-0.4366790229115975,-0.3221611732174762,-0.38112244422935176,0.6375553147106356,0.3221611732174762,LT05+LE07
2010,21,-0.3607733537446909,-0.3206476880067591,-0.36939306856907184,0.6391123965774843,0.3206476880067591,LT05+LE07
2011,25,-0.3566037472635224,-0.3429750803889353,-0.3716293050030789,0.6386393931388263,0.3429750803889353,LT05+LE07
2012,26,-0.4034049353732473,-0.3541887882736883,-0.4034081643056193,0.5326159292889955,0.3541887882736883,LE07
2013,55,-0.39633317047497235,-0.35699944395439165,-0.40730901716578777,0.5767554808344072,0.35699944395439165,LE07+LC08
2014,59,-0.39525491320007167,-0.36402221293382814,-0.4227798735823147,0.5860555404702081,0.36402221293382814,LE07+LC08
2015,73,-0.420095255854705,-0.33083446204622036,-0.41402304544224927,0.5698108945456878,0.33083446204622036,LE07+LC08
2016,66,-0.36332866549721876,-0.35185102386968625,-0.4053469801523932,0.610494006486788,0.35185102386968625,LE07+LC08
2017,62,-0.40477770353621395,-0.37779355653425306,-0.4234418210209001,0.5240388482603947,0.37779355653425306,LE07+LC08
2018,65,-0.4113944443175459,-0.41798918990619854,-0.4396199766651179,0.45797395531867197,0.41798918990619854,LE07+LC08
2019,73,-0.43314010924659174,-0.36320985040154785,-0.4229400371330521,0.4989284696975451,0.36320985040154785,LE07+LC08
2020,75,-0.37633445707147833,-0.35676510539743017,-0.3958762008895975,0.5800515127663735,0.35676510539743017,LE07+LC08
2021,69,-0.40678358764003,-0.36651279493409133,-0.4115912173293797,0.6050076746447901,0.36651279493409133,LE07+LC08
2022,69,-0.38998200913161657,-0.34065749760130853,-0.39511700204036426,0.5757597767860018,0.34065749760130853,LE07+LC08
2023,79,-0.37985692185455655,-0.21772067115747293,-0.35523444507620594,0.729062420262639,0.21772067115747293,LE07+LC08
2024,39,-0.31660845658024056,-0.2428833158992409,-0.37203779830004735,0.7663019097298923,0.2428833158992409,LC08
