date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2012-03-15,1,6.816,1.268,0.49,0.938,857104.9,844649.8,8.17,200000
2012-03-15,2,8.559,2.303,0.51,0.938,857104.9,844649.8,8.17,200000
