"date","year","month","pr_chirps","pr_terraclim","pr_era5","pr_ensemble","pet_terraclim","p_minus_pet","tmax_terraclim","tmin_terraclim","tmean_terraclim","tmean_era5","tmean_ensemble","pdsi_terraclim","spei12"
"1984-01",1984,1,112.720065229005,114.770242054693,156.029432032652,127.83991310545,129.619943643755,-1.7800305383044,29.499859571323,19.2898475609756,24.3948535661493,23.6566677915277,24.0257606788385,-2.86886714708056,-1.28475630685451
"1984-02",1984,2,296.185230224872,326.564550997783,224.35846988275,282.369417035135,94.5956189948264,187.773798040308,28.1476265705839,18.9239172209904,23.5357718957871,22.8249212187313,23.1803465572592,-2.13678834072431,-0.924910694676101
"1984-03",1984,3,268.449861163057,260.379915003696,151.872100479372,226.900625548708,100.184259977827,126.716365570881,27.6116084626756,18.4383028455285,23.024955654102,22.5763976116506,22.8006766328763,-1.08676145602365,-0.180380373636369
"1984-04",1984,4,47.333695445219,36.830487804878,26.0452710860396,36.7364847787122,101.432644124169,-64.6961593454564,27.2464477087953,16.8929637841833,22.0697057464893,21.7752105422338,21.9224581443615,-1.57027947154472,-0.0976518060292595
"1984-05",1984,5,45.2438223204575,41.0322616407983,15.6654898194051,33.9805245935536,87.3015142276423,-53.3209896340887,26.4655460088692,15.5067636733186,20.9861548410939,20.9908216575071,20.9884882493005,-0.884902254249817,0.0150519736288559
"1984-06",1984,6,17.5145955751054,37.8155118255728,10.3490011314832,21.8930361773871,68.470747413156,-46.5777112357689,23.5173115299335,13.205347376201,18.3613294530673,18.3904533771845,18.3758914151259,-0.339485864745011,0.00717792603268569
"1984-07",1984,7,14.3270082881303,24.0816796008869,10.0198587808144,16.1428488899439,75.0636760901699,-58.9208272002261,24.431235218034,13.6893366592757,19.0602859386548,18.798663906598,18.9294749226264,-0.132457963784183,-0.158964417677708
"1984-08",1984,8,8.84517228360999,30.0280118255728,4.24828575933417,14.3738232895057,103.007690317812,-88.6338670283067,25.2132113821138,12.6048771249076,18.9090442535107,19.3468736793076,19.1279589664091,-0.113304138950481,-0.20746090390754
"1984-09",1984,9,12.1122736937307,77.4890336289727,6.91654871300242,32.1726186785686,133.993883961567,-101.821265282998,29.3253713968958,15.6454443828529,22.4854078898744,23.127274985912,22.8063414378932,1.19483924611973,-0.0810869706094896
"1984-10",1984,10,29.1606600685894,25.3053861788618,18.1261199685948,24.197388738682,166.625404656319,-142.428015917637,32.0648678861789,18.5671978935698,25.3160328898744,24.9333007797341,25.1246668348042,0.786435883222468,-0.150597561261661
"1984-11",1984,11,100.723027316911,113.963774944568,129.489278874038,114.725360378506,125.569431818182,-10.8440714396761,29.4521313747228,18.4980737250554,23.9751025498892,23.7623637356286,23.8687331427589,1.56011779379157,0.319689073752632
"1984-12",1984,12,292.865773742316,268.946886548411,328.791525147652,296.868061812793,110.35934127864,186.508720534153,28.4418606799705,18.6358490391722,23.5388548595713,23.5214046357868,23.530129747679,2.21980219881744,0.497172350100877
"1985-01",1985,1,277.220276311554,262.166352549889,223.78433010893,254.390319656791,120.577364190687,133.812955466104,28.989711751663,18.7905986696231,23.890155210643,23.4810392789449,23.685597244794,2.30193597560976,1.20026286947664
"1985-02",1985,2,199.404913788237,221.668874722838,165.549171810157,195.540986773744,97.9101191796009,97.6308675941431,28.1073826681449,18.6874824464154,23.3974325572801,22.7322654129686,23.0648489851243,2.28017082409461,0.836883864468999
"1985-03",1985,3,300.432525613571,292.70932187731,184.590338700246,259.244062063709,109.991138211382,149.252923852327,28.0745916481892,18.4639356984479,23.2692636733186,22.7804170829479,23.0248403781332,2.77798715816704,0.958756210469695
"1985-04",1985,4,103.67313646937,86.1624815225425,55.6553879095465,81.8303353004864,94.3059571322987,-12.4756218318123,26.9478510716926,16.5305774205469,21.7392142461198,21.1163220030484,21.4277681245841,3.04611650036955,1.27509930146434
"1985-05",1985,5,19.1013076889942,18.7967941611234,13.9940795740435,17.2973938080537,87.0561492978566,-69.7587554898029,25.0858416481892,14.463949556541,19.7748956023651,19.761729173419,19.7683123878921,2.8078661308204,1.16779019868878
"1985-06",1985,6,14.2743137244072,24.7141167775314,5.34520041411798,14.7778769720189,71.2645740946046,-56.4866971225857,23.6083702882483,11.964156504065,17.7862633961567,17.6770673508984,17.7316653735275,2.55662832594235,1.12234235369655
"1985-07",1985,7,11.1255689101057,14.807862158167,6.14714437807389,10.6935251487822,82.3596831116039,-71.6661579628217,24.5394161123429,12.4044198078344,18.4719179600887,18.1736690632898,18.3227935116893,2.1417610864745,1.07614105845255
"1985-08",1985,8,12.7915421716056,83.816731337768,8.9583424535792,35.1888719876509,98.8233240946046,-63.6344521069537,24.7979101995565,13.0817987804878,18.9398544900222,19.3878266180679,19.1638405540451,2.873845436068,1.17778300379635
"1985-09",1985,9,9.51934043668168,82.1320214338507,6.04407915685028,32.5651470091275,123.606260162602,-91.0411131534743,28.8365594974132,15.7725304878049,22.304544992609,22.5795446043617,22.4420447984853,3.73975997782705,1.21719383862284
"1985-10",1985,10,53.0734469994857,55.6366038433112,30.5261398494941,46.412063564097,154.490911862528,-108.078848298431,30.9354406873614,17.9353067257945,24.435373706578,23.847099018211,24.1412363623945,4.08324815225426,1.3390029157911
"1985-11",1985,11,108.305402275454,119.388848854398,123.35564319101,117.016631440287,132.370746489283,-15.354115048996,29.3134377309683,18.286338691796,23.7998882113821,23.403792084835,23.6018401481086,4.36009192535108,1.3633546365632
"1985-12",1985,12,269.597614658401,267.821147450111,393.140626429505,310.186462846006,108.19104767184,201.995415174165,28.0550609756098,18.7986659275684,23.4268634515891,22.5831055025366,23.0049844770629,4.72722727272727,1.40078407604858
"1986-01",1986,1,357.746901013603,360.120214338507,300.052356781909,339.306490711339,99.7642978566149,239.542192854725,27.4718902439024,18.9139560236512,23.1929231337768,22.5588266913696,22.8758749125732,5.59714209164819,1.78240908926757
"1986-02",1986,2,213.902922754933,251.678658536585,210.011732376967,225.197771222828,109.847942535107,115.349828687721,28.4101967849224,18.7373050628233,23.5737509238729,22.7113378275781,23.1425443757255,5.39448503325942,1.88353183865547
"1986-03",1986,3,167.844795378033,188.485827790096,169.528436444875,175.286353204335,110.682253325942,64.6040998783923,27.779844789357,18.2467997043607,23.0133222468588,22.4623418299295,22.7378320383942,4.73955691056911,1.45978400946925
"1986-04",1986,4,61.7389243292676,71.3334811529934,60.1561084315495,64.4095046379368,94.1429259053954,-29.7334212674586,27.3471766444937,17.9329129711751,22.6400448078344,22.0314478153983,22.3357463116164,4.5097049150037,1.36694239166679
"1986-05",1986,5,11.6822868280283,8.25666112342942,9.6847943351202,9.87458076219265,90.3124454915005,-80.4378647293078,26.119563932003,14.4651376570584,20.2923507945307,19.9021443616864,20.0972475781085,3.81100942350333,1.29199451318494
