date,year,water_fraction,n_clear_cells
2000-02-18,2000,,0
2000-02-26,2000,0.15766016463437196,27577
2000-03-05,2000,0.21328374878195946,9035
2000-03-13,2000,0.13292880105139884,32698
2000-03-21,2000,0.18374157583417214,21911
2000-03-29,2000,0.1289371840283675,34271
2000-04-06,2000,0.3796844224282571,9106
2000-04-14,2000,0.14831472143561644,29591
2000-04-22,2000,0.12979853945232442,33986
2000-04-30,2000,0.13675447747308914,32341
2000-05-08,2000,0.12188479326431598,35627
2000-05-16,2000,0.1251548708491264,34829
2000-05-24,2000,0.12275839981619846,35687
2000-06-01,2000,0.13814139290644478,31835
2000-06-09,2000,0.1225237403856616,35509
2000-06-17,2000,0.1401829086022245,31313
2000-06-25,2000,0.11405906398791117,33140
2000-07-03,2000,0.169946877023667,24619
2000-07-11,2000,0.12355185679937643,35672
2000-07-19,2000,0.12141260216630315,35632
2000-07-27,2000,0.12323102774794324,35369
2000-08-04,2000,0.12401224858921511,35493
2000-08-12,2000,0.09859376938363415,30349
2000-08-20,2000,0.12020820244204874,35588
2000-08-28,2000,0.11737481609537713,35619
2000-09-05,2000,0.11660917413938897,35626
2000-09-13,2000,0.11564270264558875,35668
2000-09-21,2000,0.11895825831885558,34901
2000-09-29,2000,0.10549066142735405,35609
2000-10-07,2000,0.10926554350588384,35546
2000-10-15,2000,0.07418813412945914,34333
2000-10-23,2000,0.10964468372071082,35535
2000-10-31,2000,0.08482900246474276,22800
2000-11-08,2000,0.12116462222416426,32016
2000-11-16,2000,0.0674680708123563,33681
2000-11-24,2000,0.19317265199471834,14639
2000-12-02,2000,0.12474805063606087,31885
2000-12-10,2000,0.1507459948702903,25676
2000-12-18,2000,0.1427735011013614,28943
2000-12-26,2000,0.16116332050407067,21909
2001-01-01,2001,0.12569238014586429,33205
2001-01-09,2001,0.1837548841287208,16259
2001-01-17,2001,0.1581703785181903,23276
2001-01-25,2001,0.21270096746338973,673
2001-02-02,2001,0.3023630528639436,12503
2001-02-10,2001,0.011657675779464199,4072
2001-02-18,2001,0.20000153137346716,18206
2001-02-26,2001,0.06356551920357432,17093
2001-03-06,2001,0.169487891679149,17924
2001-03-14,2001,0.2795343687945756,4717
2001-03-22,2001,0.15570328877463838,29172
2001-03-30,2001,0.16583859709835413,26828
2001-04-07,2001,0.14982177549950212,31072
2001-04-15,2001,0.13189078456381614,35722
2001-04-23,2001,0.13095874405180802,35611
2001-05-01,2001,0.13804784644279403,33965
2001-05-09,2001,0.13037137899689827,35653
2001-05-17,2001,0.14395683803497644,32157
2001-05-25,2001,0.13142364133397838,35442
2001-06-02,2001,0.1460116147660753,31461
2001-06-10,2001,0.1630266422312273,26617
2001-06-26,2001,,0
2001-07-04,2001,0.12478027296917972,32623
2001-07-12,2001,0.13003891016485206,35495
2001-07-20,2001,0.13147555262679303,35658
2001-07-28,2001,0.13132549536812452,35516
2001-08-05,2001,0.12808012337737282,35258
2001-08-13,2001,0.12654987475362955,35553
2001-08-21,2001,0.12749179451736628,35632
2001-08-29,2001,0.1276909657627634,35640
2001-09-06,2001,0.12676903568652115,35603
2001-09-14,2001,0.12565981771159176,35538
2001-09-22,2001,0.128294400064327,35709
2001-09-30,2001,0.12844567702315823,35691
2001-10-08,2001,0.12781271794978338,33716
2001-10-16,2001,0.10156048379763219,34655
2001-10-24,2001,0.08228101060488138,34052
2001-11-01,2001,0.12714801395643485,35706
2001-11-09,2001,0.12339841342821511,35692
2001-11-17,2001,0.11534245944789724,34470
2001-11-25,2001,0.12440254756568007,35692
2001-12-03,2001,0.13309496006795507,30258
2001-12-11,2001,0.1901343593491086,22486
2001-12-19,2001,0.1912421027256686,8381
2001-12-27,2001,0.23633796374759286,19428
