date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2011-12-16,1,7.309,1.507,0.826,0.95,807464.8,798260.3,9.172,200000
2011-12-16,2,9.172,2.329,0.174,0.95,807464.8,798260.3,9.172,200000
