date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2012-01-15,1,7.619,2.799,0.133,0.419,790758.3,782631.2,7.619,200000
2012-01-15,2,8.557,1.484,0.867,0.419,790758.3,782631.2,7.619,200000
