date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2012-02-14,1,7.664,1.47,0.546,0.214,817712.0,815609.2,8.069,200000
2012-02-14,2,8.069,2.237,0.454,0.214,817712.0,815609.2,8.069,200000
