date,component,mean_dB,sd_dB,weight,ashman_D,bic_one,bic_two,crossing_dB,n_fit
2012-02-22,1,6.254,0.984,0.29,0.564,922260.2,910983.8,6.801,200000
2012-02-22,2,7.415,2.741,0.71,0.564,922260.2,910983.8,6.801,200000
